samples	total_reads	pct_uniq_reads	reads_start_point	pf_bases	pct_pf_bases	pct_coding	pct_utr	pct_intronic	pct_intergenic	pct_correct_rs	pct_mrna	pct_usable	med_cv_cov	X5to3_bias	rrna_contam	project	groupID	run
PROJECT_COCKAREL_0012_Ln_P_PE_318_WT	0.035537	99.6	1.747	0.5346306	82.6	6.6119	44.726	36.8373	11.8248	97.2503	51.3379	42.4219	0.864601	0.864585	35	PROJECT_COCKAREL	LY_FL_245	180724_M00146_0081_000000000-D4KDT
PROJECT_COCKAREL_0013_Ln_P_PE_283_WT	0.080733	99.7	1.93	1.2161842	77.1	8.6964	38.0773	40.8912	12.3351	97.488	46.7737	36.1091	0.908437	0.930636	32.8	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0014_Ln_P_PE_280_WT	0.069286	99.8	1.796	1.0450106	73.3	7.8781	20.594	55.2971	16.2308	97.477	28.4721	20.8765	1.058468	1.149685	13	PROJECT_COCKAREL	LY_FL_247	180704_M00146_0079_000000000-D4JY4
PROJECT_COCKAREL_0014_Ln_P_PE_300_WT	0.082873	99.2	3.055	1.2424582	81.3	2.9198	63.3859	24.1948	9.4995	96.9172	66.3057	53.9117	1.067688	1.168736	63.9	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0015_Ln_P_PE_307_WT	0.078286	99.5	3.124	1.1769242	82.4	1.4038	63.8627	24.7736	9.9599	95.1389	65.2665	53.8053	0.962481	0.507055	62.1	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0015_Ln_P_PE_312_WT	0.034592	99.4	2.217	0.5194702	82.4	1.9836	57.3769	30.7123	9.9272	94.2282	59.3605	48.929	0.916931	0.852632	52.6	PROJECT_COCKAREL	LY_FL_248	180724_M00146_0081_000000000-D4KDT
PROJECT_COCKAREL_0016_Ln_P_PE_286_WT	0.061362	99.9	1.783	0.9260528	72.1	8.0513	15.255	58.9103	17.7834	97.7011	23.3062	16.8126	1.075541	1.03012	6.4	PROJECT_COCKAREL	LY_FL_249	180704_M00146_0079_000000000-D4JY4
PROJECT_COCKAREL_0016_Ln_P_PE_308_WT	0.089282	99.6	2.431	1.3432658	84.2	4.2008	53.7275	30.4479	11.6238	97.3835	57.9283	48.8173	0.975251	1.028084	51.1	PROJECT_COCKAREL	180423	180430_M00146_0074_000000000-D3RD8
PROJECT_COCKAREL_0018_Ln_P_PE_327_WT	0.035433	99.7	1.528	0.5334528	85.4	6.2412	33.1178	47.3097	13.3314	96.5783	39.3589	33.6454	0.945204	0.714057	27.6	PROJECT_COCKAREL	LY_FL_252	180517_M00753_0047_000000000-D3WJ3
PROJECT_COCKAREL_0019_Ln_P_PE_317_WT	0.043418	99.7	1.706	0.6537394	84.5	4.4837	37.2894	45.6483	12.5786	97.3775	41.7731	35.3315	0.802773	0.844444	32.8	PROJECT_COCKAREL	LY_FL_253	180517_M00753_0047_000000000-D3WJ3
